"Date","Price","Open","High","Low","Vol.","Change %"
"May 14, 2020","858.96","882.03","882.49","854.22","-","-2.58%"
"May 13, 2020","881.67","890.16","890.16","878.71","-","-1.00%"
"May 12, 2020","890.61","886.31","899.24","884.48","-","0.53%"
"May 11, 2020","885.94","881.40","891.77","881.40","-","0.52%"
"May 07, 2020","881.34","872.52","883.16","872.52","-","0.99%"
"May 06, 2020","872.71","876.13","880.84","866.61","-","-0.41%"
"May 05, 2020","876.32","866.63","879.18","866.63","-","1.55%"
"May 04, 2020","862.95","873.27","873.27","853.46","-","-1.17%"
"Apr 30, 2020","873.17","884.07","896.47","872.39","-","-1.22%"
"Apr 29, 2020","883.95","867.39","885.36","865.21","-","1.94%"
"Apr 28, 2020","867.16","859.77","869.03","853.60","-","0.91%"
"Apr 27, 2020","859.33","851.88","865.12","851.88","-","0.87%"
"Apr 24, 2020","851.91","855.63","857.34","843.94","-","-0.38%"
"Apr 23, 2020","855.19","833.88","856.09","833.88","-","2.50%"
"Apr 22, 2020","834.31","831.64","838.78","831.24","-","0.50%"
"Apr 21, 2020","830.16","846.55","846.55","824.47","-","-1.95%"
"Apr 20, 2020","846.68","851.18","857.61","842.40","-","-0.55%"
"Apr 17, 2020","851.36","844.91","865.16","844.91","-","0.82%"
"Apr 16, 2020","844.46","828.86","856.50","828.59","-","2.35%"
"Apr 15, 2020","825.11","852.46","859.38","824.49","-","-3.11%"
"Apr 14, 2020","851.56","840.79","856.30","840.79","-","1.37%"
"Apr 09, 2020","840.08","828.96","846.03","828.96","-","1.50%"
"Apr 08, 2020","827.66","821.44","827.66","797.43","-","0.89%"
"Apr 07, 2020","820.33","809.75","836.75","809.75","-","1.53%"
"Apr 06, 2020","807.95","774.34","807.96","774.34","-","4.34%"
"Apr 03, 2020","774.34","781.74","785.09","769.34","-","-0.83%"
"Apr 02, 2020","780.85","770.49","782.02","770.14","-","1.32%"
"Apr 01, 2020","770.67","789.82","790.73","767.27","-","-2.43%"
"Mar 31, 2020","789.88","770.44","799.89","770.44","-","2.52%"
"Mar 30, 2020","770.44","781.23","781.23","757.50","-","-1.38%"
"Mar 27, 2020","781.23","801.57","803.97","772.30","-","-2.54%"
"Mar 26, 2020","801.57","807.31","810.36","792.02","-","-0.75%"
"Mar 25, 2020","807.65","796.20","859.12","796.20","-","1.62%"
"Mar 24, 2020","794.74","738.56","800.39","737.10","-","7.65%"
"Mar 23, 2020","738.28","738.36","747.39","719.27","-","-0.07%"
"Mar 20, 2020","738.80","712.15","755.63","712.11","-","4.18%"
"Mar 19, 2020","709.15","690.47","721.90","690.47","-","2.72%"
"Mar 18, 2020","690.37","738.23","738.23","690.37","-","-6.48%"
"Mar 17, 2020","738.23","758.84","774.64","723.62","-","-3.01%"
"Mar 16, 2020","761.12","825.15","825.15","743.33","-","-7.76%"
"Mar 13, 2020","825.15","818.36","857.43","807.57","-","1.15%"
"Mar 12, 2020","815.74","884.67","884.67","810.82","-","-7.84%"
"Mar 11, 2020","885.10","912.90","926.29","884.60","-","-3.03%"
"Mar 10, 2020","912.76","912.80","944.39","912.67","-","-0.08%"
"Mar 09, 2020","913.47","962.79","962.79","901.42","-","-5.13%"
"Mar 06, 2020","962.89","990.64","994.89","959.18","-","-2.80%"
"Mar 05, 2020","990.66","1,007.87","1,019.09","985.23","-","-1.65%"
"Mar 04, 2020","1,007.24","1,011.53","1,016.30","999.84","-","-0.42%"
"Mar 03, 2020","1,011.53","986.64","1,020.60","986.60","-","2.68%"
"Mar 02, 2020","985.13","977.29","996.11","977.11","-","0.82%"
"Feb 28, 2020","977.11","1,000.52","1,000.52","970.81","-","-2.51%"
"Feb 27, 2020","1,002.24","1,031.34","1,031.80","1,001.23","-","-2.91%"
"Feb 26, 2020","1,032.25","1,039.77","1,039.77","1,013.18","-","-0.88%"
"Feb 25, 2020","1,041.44","1,058.65","1,062.01","1,040.04","-","-1.63%"
"Feb 24, 2020","1,058.69","1,089.29","1,089.29","1,054.12","-","-2.81%"
"Feb 21, 2020","1,089.32","1,097.16","1,097.98","1,089.04","-","-0.71%"
"Feb 20, 2020","1,097.16","1,104.21","1,106.43","1,097.03","-","-0.64%"
"Feb 19, 2020","1,104.21","1,096.65","1,104.74","1,096.65","-","0.66%"
"Feb 18, 2020","1,096.92","1,097.45","1,098.30","1,092.65","-","-0.05%"
"Feb 17, 2020","1,097.45","1,102.93","1,106.03","1,095.98","-","-0.50%"
"Feb 14, 2020","1,102.93","1,104.12","1,107.19","1,100.26","-","-0.11%"
"Feb 13, 2020","1,104.10","1,104.42","1,106.41","1,100.75","-","0.11%"
"Feb 12, 2020","1,102.94","1,107.39","1,111.81","1,102.94","-","-0.38%"
"Feb 11, 2020","1,107.19","1,111.64","1,113.94","1,105.89","-","-0.35%"
"Feb 10, 2020","1,111.12","1,110.80","1,114.66","1,106.35","-","0.04%"
"Feb 07, 2020","1,110.72","1,114.46","1,114.59","1,106.97","-","-0.35%"
"Feb 06, 2020","1,114.60","1,103.60","1,115.87","1,103.55","-","1.02%"
"Feb 05, 2020","1,103.37","1,092.58","1,103.65","1,091.33","-","1.21%"
"Feb 04, 2020","1,090.21","1,086.33","1,092.56","1,083.03","-","0.47%"
"Feb 03, 2020","1,085.15","1,072.46","1,086.40","1,072.46","-","1.18%"
"Jan 31, 2020","1,072.46","1,074.39","1,087.42","1,072.46","-","-0.18%"
"Jan 30, 2020","1,074.39","1,097.59","1,100.57","1,069.95","-","-2.11%"
"Jan 29, 2020","1,097.59","1,107.36","1,111.50","1,090.64","-","-0.89%"
"Jan 28, 2020","1,107.47","1,131.67","1,131.74","1,107.36","-","-2.13%"
"Jan 27, 2020","1,131.58","1,142.95","1,143.02","1,128.84","-","-0.99%"
